ImageName,Variety,RGBImage,DebthInformation,FreshWeightShoot,DryWeightShoot,Height,Diameter,LeafArea
Image238,Satine,RGB_238.png,Debth_238.png,93.0,4.59,13.0,19.5,1640.7
Image274,Satine,RGB_274.png,Debth_274.png,87.0,4.86,14.0,22.5,1447.3
Image83,Lugano,RGB_83.png,Debth_83.png,17.9,1.1,7.8,17.1,388.7
Image165,Aphylion,RGB_165.png,Debth_165.png,62.7,2.85,13.5,20.1,1106.1
Image208,Salanova,RGB_208.png,Debth_208.png,101.0,5.13,9.0,25.0,2139.4
Image177,Aphylion,RGB_177.png,Debth_177.png,79.8,3.81,12.1,22.1,1460.4
Image70,Lugano,RGB_70.png,Debth_70.png,26.5,1.82,7.3,19.5,536.2
Image279,Satine,RGB_279.png,Debth_279.png,134.4,6.16,16.5,22.2,1822.9
Image143,Lugano,RGB_143.png,Debth_143.png,87.4,4.24,10.6,20.3,1243.7
Image111,Aphylion,RGB_111.png,Debth_111.png,38.2,2.25,10.3,20.6,831.8
Image97,Salanova,RGB_97.png,Debth_97.png,18.6,1.62,5.7,19.5,578.2
Image52,Aphylion,RGB_52.png,Debth_52.png,6.8,0.5,7.8,14.6,158.9
Image139,Lugano,RGB_139.png,Debth_139.png,32.1,1.95,8.9,16.5,553.8
Image356,Aphylion,RGB_356.png,Debth_356.png,247.1,13.42,21.0,30.0,3398.0
Image334,Salanova,RGB_334.png,Debth_334.png,229.2,11.69,15.4,39.2,4279.3
Image80,Lugano,RGB_80.png,Debth_80.png,17.9,1.46,6.1,17.0,346.3
Image41,Salanova,RGB_41.png,Debth_41.png,4.6,0.54,9.0,16.8,174.9
Image328,Salanova,RGB_328.png,Debth_328.png,235.6,11.04,17.0,33.5,5348.1
Image288,Lugano,RGB_288.png,Debth_288.png,337.1,12.81,15.0,25.5,3039.8
Image347,Aphylion,RGB_347.png,Debth_347.png,444.7,17.24,24.0,34.5,4995.6
Image308,Lugano,RGB_308.png,Debth_308.png,198.5,9.33,14.2,20.2,2922.8
Image36,Salanova,RGB_36.png,Debth_36.png,3.5,0.35,7.3,16.0,137.4
Image313,Salanova,RGB_313.png,Debth_313.png,197.7,10.95,15.5,30.5,3694.1
Image381,Satine,RGB_381.png,Debth_381.png,184.7,7.39,18.5,28.0,2420.3
Image38,Salanova,RGB_38.png,Debth_38.png,4.7,0.49,7.2,16.0,156.7
Image275,Satine,RGB_275.png,Debth_275.png,118.3,6.0,14.0,22.0,1508.7
Image311,Lugano,RGB_311.png,Debth_311.png,355.4,12.36,17.0,26.0,3571.3
Image332,Salanova,RGB_332.png,Debth_332.png,232.5,10.49,15.0,29.0,4153.3
Image173,Aphylion,RGB_173.png,Debth_173.png,44.9,2.02,12.4,16.9,915.1
Image94,Salanova,RGB_94.png,Debth_94.png,14.5,1.01,8.5,21.2,427.9
Image217,Salanova,RGB_217.png,Debth_217.png,67.0,4.49,11.0,26.0,1626.2
Image67,Satine,RGB_67.png,Debth_67.png,4.8,0.33,5.3,13.0,145.0
Image35,Salanova,RGB_35.png,Debth_35.png,5.5,0.65,7.0,19.5,188.8
Image263,Aphylion,RGB_263.png,Debth_263.png,261.9,12.31,20.5,25.0,3734.2
Image186,Satine,RGB_186.png,Debth_186.png,49.6,2.78,10.3,18.4,952.2
Image136,Lugano,RGB_136.png,Debth_136.png,25.8,1.61,9.8,15.2,502.0
Image168,Aphylion,RGB_168.png,Debth_168.png,74.3,3.46,13.1,19.5,1318.9
Image158,Salanova,RGB_158.png,Debth_158.png,62.3,3.64,11.0,23.7,1600.9
Image272,Aphylion,RGB_272.png,Debth_272.png,263.2,12.17,23.1,27.2,4606.6
Image242,Lugano,RGB_242.png,Debth_242.png,242.1,10.17,17.5,23.9,3501.7
Image346,Aphylion,RGB_346.png,Debth_346.png,364.8,14.69,24.5,33.0,4516.2
Image98,Salanova,RGB_98.png,Debth_98.png,10.3,0.93,7.8,17.0,330.6
Image390,Satine,RGB_390.png,Debth_390.png,204.5,9.2,18.0,32.0,3179.4
Image251,Salanova,RGB_251.png,Debth_251.png,116.5,7.04,13.5,29.0,2893.2
Image340,Salanova,RGB_340.png,Debth_340.png,241.9,8.98,13.0,29.5,4365.1
